title,url,descriptionurl,user,license,attribution,local_path
"File:""Everything is Going to be Alright"" artwork, Christchurch Art Gallery, Christchurch, New Zealand.jpg",https://upload.wikimedia.org/wikipedia/commons/2/21/%22Everything_is_Going_to_be_Alright%22_artwork%2C_Christchurch_Art_Gallery%2C_Christchurch%2C_New_Zealand.jpg,"https://commons.wikimedia.org/wiki/File:%22Everything_is_Going_to_be_Alright%22_artwork,_Christchurch_Art_Gallery,_Christchurch,_New_Zealand.jpg",Podzemnik,CC BY-SA 4.0,,server/absolutely_legal_downloaded_images/%22Everything_is_Going_to_be_Alright%22_artwork%2C_Christchurch_Art_Gallery%2C_Christchurch%2C_New_Zealand.jpg
"File:""The School of Athens"" by Raffaello Sanzio da Urbino.jpg",https://upload.wikimedia.org/wikipedia/commons/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg,https://commons.wikimedia.org/wiki/File:%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg,Paul 012,Public domain,,server/absolutely_legal_downloaded_images/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg
"File:""Wind Mountain"" Columbia R - NARA - 102278851 (page 1).png",https://upload.wikimedia.org/wikipedia/commons/a/a3/%22Wind_Mountain%22_Columbia_R_-_NARA_-_102278851_%28page_1%29.png,https://commons.wikimedia.org/wiki/File:%22Wind_Mountain%22_Columbia_R_-_NARA_-_102278851_(page_1).png,Obscure2020,Public domain,,server/absolutely_legal_downloaded_images/%22Wind_Mountain%22_Columbia_R_-_NARA_-_102278851_%28page_1%29.png
"File:'One of the wards in the hospital at Scutari'. Wellcome M0007724 - restoration, cropped.jpg",https://upload.wikimedia.org/wikipedia/commons/9/97/%27One_of_the_wards_in_the_hospital_at_Scutari%27._Wellcome_M0007724_-_restoration%2C_cropped.jpg,"https://commons.wikimedia.org/wiki/File:%27One_of_the_wards_in_the_hospital_at_Scutari%27._Wellcome_M0007724_-_restoration,_cropped.jpg",Adam Cuerden,CC BY 4.0,,server/absolutely_legal_downloaded_images/%27One_of_the_wards_in_the_hospital_at_Scutari%27._Wellcome_M0007724_-_restoration%2C_cropped.jpg
File:(Castres) Notre-Dame-de-la-Platé - L'orgue de tribune.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/%28Castres%29_Notre-Dame-de-la-Plat%C3%A9_-_L%27orgue_de_tribune.jpg,https://commons.wikimedia.org/wiki/File:(Castres)_Notre-Dame-de-la-Plat%C3%A9_-_L%27orgue_de_tribune.jpg,Archaeodontosaurus,CC BY-SA 4.0,,server/absolutely_legal_downloaded_images/%28Castres%29_Notre-Dame-de-la-Plat%C3%A9_-_L%27orgue_de_tribune.jpg
File:(Orgueil) - L'Église Saint-Ferréol - Voute du choeur.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/%28Orgueil%29_-_L%27%C3%89glise_Saint-Ferr%C3%A9ol_-_Voute_du_choeur.jpg,https://commons.wikimedia.org/wiki/File:(Orgueil)_-_L%27%C3%89glise_Saint-Ferr%C3%A9ol_-_Voute_du_choeur.jpg,Archaeodontosaurus,CC BY-SA 4.0,,server/absolutely_legal_downloaded_images/%28Orgueil%29_-_L%27%C3%89glise_Saint-Ferr%C3%A9ol_-_Voute_du_choeur.jpg
File:(Venice) Bocca di Leone in the Doge's Palace.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/%28Venice%29_Bocca_di_Leone_in_the_Doge%27s_Palace.jpg,https://commons.wikimedia.org/wiki/File:(Venice)_Bocca_di_Leone_in_the_Doge%27s_Palace.jpg,Archaeodontosaurus,CC BY-SA 4.0,,server/absolutely_legal_downloaded_images/%28Venice%29_Bocca_di_Leone_in_the_Doge%27s_Palace.jpg
File:001 Chateau de Chillon and Dents du Midi Photo by Giles Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/001_Chateau_de_Chillon_and_Dents_du_Midi_Photo_by_Giles_Laurent.jpg,https://commons.wikimedia.org/wiki/File:001_Chateau_de_Chillon_and_Dents_du_Midi_Photo_by_Giles_Laurent.jpg,Giles Laurent,CC BY-SA 4.0,,server/absolutely_legal_downloaded_images/001_Chateau_de_Chillon_and_Dents_du_Midi_Photo_by_Giles_Laurent.jpg
File:001 Greater flamingo in flight in the Camargue Photo by Giles Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/001_Greater_flamingo_in_flight_in_the_Camargue_Photo_by_Giles_Laurent.jpg,https://commons.wikimedia.org/wiki/File:001_Greater_flamingo_in_flight_in_the_Camargue_Photo_by_Giles_Laurent.jpg,Giles Laurent,CC BY-SA 4.0,,server/absolutely_legal_downloaded_images/001_Greater_flamingo_in_flight_in_the_Camargue_Photo_by_Giles_Laurent.jpg
File:001117 15-44-2002-To-grupper-rosa-Qajar-Fliser2.jpg,https://upload.wikimedia.org/wikipedia/commons/9/91/001117_15-44-2002-To-grupper-rosa-Qajar-Fliser2.jpg,https://commons.wikimedia.org/wiki/File:001117_15-44-2002-To-grupper-rosa-Qajar-Fliser2.jpg,Alborzagros,Public domain,,server/absolutely_legal_downloaded_images/001117_15-44-2002-To-grupper-rosa-Qajar-Fliser2.jpg
 
